,Product Title,Price,Image,Product URL,Site
67,Baseus C17 Type-C Half In-Ear Wired Earphone - White,Tk 788,https://media.e-valy.com/cms/products/images/54e0fffb-e365-4073-8ea7-a1962eb5a5c4?h=250&w=250,https://evaly.com.bd/products/baseus-c17-type-c-half-in-ear-wired-earphone-white-1772306,Evaly
68,QKZ ZXT Headphones with Microphone,Tk 788,https://media.e-valy.com/cms/products/images/33ee2ef8-e3f4-462f-a698-526ebbb5b794?h=250&w=250,https://evaly.com.bd/products/qkz-zxt-headphones-with-microphone-2151642,Evaly
69,Baseus Flash Series One-for-Three Fast Charging Data Cable USB to M+L+C 66W (1.2m/3.9feet),Tk 790,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus-flash-series-one-for-three-fast-charging-data-cable-usb-to-mlc-66w.jpg,https://www.bdshop.com/baseus-flash-series-1-for-3-fast-charging-cable,BD Shop
70,"Baseus CALD000202 Dynamic Series 100W Fast Charging Data Cable Type-C to Type-C (2m, White)",Tk 790,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cald000202.jpg,https://www.bdshop.com/baseus-cald000202-100w-cable-type-c-to-type-c,BD Shop
71,Baseus CALL50-02 Audio Converter Lightning Male to 3.5mm + Lightning L50 Adapter,Tk 790,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_call50-02.jpg,https://www.bdshop.com/baseus-call50-02-audio-adapter,BD Shop
72,Baseus Display 100W Fast Charging Type -C to Type -C Data Cable - Black,Tk 824,https://media.e-valy.com/cms/products/images/f156455a-6290-4122-9886-a84efed0237b?h=250&w=250,https://evaly.com.bd/products/baseus-display-100w-fast-charging-type-c-to-type-c-data-cable-black-4579045,Evaly
73,Baseus CALL50S-02 Audio Converter Lightning Female To 3.5mm Female,Tk 850,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_call50s-02_audio_converter.jpg,https://www.bdshop.com/baseus-call50s-02-audio-converter,BD Shop
74,Baseus CAHUB-GA01 Round Box 4 in 1 HUB Adapter (Type-C + USB A to USB 3.0 x 1 + USB 2.0 x 3),Tk 850,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cahub-ga01_round_box_4_in_1_hub_adapter.jpg,https://www.bdshop.com/baseus-cahub-ga01-4-in-1-hub,BD Shop
75,Baseus CAHUB-GB02 Round Box 4 in 1 HUB Adapter (Type-C + USB A to USB 3.0 x 1 + USB 2.0 x 3),Tk 850,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cahub-gb02_round_box_4_in_1_hub_adapter.jpg,https://www.bdshop.com/baseus-cahub-gb02-4-in-1-hub,BD Shop
76,"Baseus Explorer Series Auto Power-Off Cable USB to Type-C (100W, 1 Meter)",Tk 890,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_explorer_series_auto_power-off_cable.jpg,https://www.bdshop.com/baseus-explorer-series-auto-power-off-cable,BD Shop
